,"(deg F) Min Temperature (gridMET) at Lands, 2006-12-01 to 2021-09-30"
"2007-05-13",33.7953
"2007-05-14",41.8437
"2007-05-15",44.7849
"2007-05-16",41.1854
"2007-05-17",40.5329
"2007-05-18",41.2385
"2007-05-19",41.7819
"2007-05-20",41.6448
"2007-05-21",41.6602
"2007-05-22",43.4237
"2007-05-23",43.6876
"2007-05-24",49.6585
"2007-05-25",50.6613
"2007-05-26",51.7509
"2007-05-27",43.3713
"2007-05-28",40.8744
"2007-05-29",42.498
"2007-05-30",42.4744
"2007-05-31",42.1452
"2007-06-01",45.3324
"2007-06-02",44.3826
"2007-06-03",47.1542
"2007-06-04",47.0782
"2007-06-05",44.9325
"2007-06-06",34.8179
"2007-06-07",37.3537
"2007-06-08",39.2466
"2007-06-09",46.0549
"2007-06-10",49.1047
"2007-06-11",45.8883
"2007-06-12",46.1878
"2007-06-13",57.29
"2007-06-14",64.0492
"2007-06-15",60.2292
"2007-06-16",50.7909
"2007-06-17",44.5872
"2007-06-18",54.6656
"2007-06-19",49.4753
"2007-06-20",46.265
"2007-06-21",48.2319
"2007-06-22",48.6057
"2007-06-23",48.0776
"2007-06-24",46.6639
"2007-06-25",44.6563
"2007-06-26",52.9207
"2007-06-27",50.5702
"2007-06-28",48.9733
"2007-06-29",48.681
"2007-06-30",43.5949
"2007-07-01",45.2727
"2007-07-02",48.3291
"2007-07-03",49.9192
"2007-07-04",56.1403
"2007-07-05",66.4565
"2007-07-06",60.1545
"2007-07-07",50.5539
"2007-07-08",50.598
"2007-07-09",53.5015
"2007-07-10",53.542
"2007-07-11",58.8936
"2007-07-12",46.5228
"2007-07-13",51.3642
"2007-07-14",53.1874
"2007-07-15",52.3164
"2007-07-16",51.607
"2007-07-17",45.8249
"2007-07-18",47.0269
"2007-07-19",43.0502
"2007-07-20",44.2288
"2007-07-21",49.0429
"2007-07-22",51.7122
"2007-07-23",55.0578
"2007-07-24",60.8574
"2007-07-25",53.1664
"2007-07-26",53.1826
"2007-07-27",53.3331
"2007-07-28",51.8792
"2007-07-29",50.1721
"2007-07-30",49.0651
"2007-07-31",54.9451
"2007-08-01",51.4607
"2007-08-02",58.2064
"2007-08-03",58.213
"2007-08-04",60.3435
"2007-08-05",54.1427
"2007-08-06",42.6922
"2007-08-07",40.9114
"2007-08-08",43.9083
"2007-08-09",46.0054
"2007-08-10",51.7095
"2007-08-11",51.7258
"2007-08-12",49.4749
"2007-08-13",52.8975
"2007-08-14",54.3254
"2007-08-15",50.9607
"2007-08-16",49.6634
"2007-08-17",46.1539
"2007-08-18",47.7333
"2007-08-19",47.3479
"2007-08-20",53.2098
"2007-08-21",55.15
"2007-08-22",58.7287
"2007-08-23",54.4674
"2007-08-24",51.9876
"2007-08-25",52.5609
"2007-08-26",51.913
"2007-08-27",58.2267
"2007-08-28",58.9606
"2007-08-29",64.6574
"2007-08-30",67.638
"2007-08-31",66.0686
"2007-09-01",66.7062
"2007-09-02",64.4203
"2007-09-03",62.2812
"2007-09-04",55.4909
"2007-09-05",51.6261
"2007-09-06",58.0125
"2007-09-07",47.9826
"2007-09-08",50.409
"2007-09-09",50.8959
"2007-09-10",49.6819
"2007-09-11",51.283
"2007-09-12",48.1885
"2007-09-13",45.9095
"2007-09-14",44.5649
"2007-09-15",47.2906
"2007-09-16",42.8916
"2007-09-17",42.5194
"2007-09-18",46.3975
"2007-09-19",42.8841
"2007-09-20",35.7921
"2007-09-21",44.8806
"2007-09-22",45.4867
"2007-09-23",46.4473
"2007-09-24",46.5219
"2007-09-25",50.0025
"2007-09-26",54.6154
"2007-09-27",56.5266
"2007-09-28",42.4013
"2007-09-29",39.663
"2007-09-30",44.6304
"2007-10-01",43.3769
"2007-10-02",45.9788
"2007-10-03",52.2381
"2007-10-04",41.157
"2007-10-05",35.0688
"2007-10-06",34.5155
"2007-10-07",42.204
"2007-10-08",48.0124
"2007-10-09",44.1018
"2007-10-10",44.0789
"2007-10-11",39.9389
"2007-10-12",39.2047
"2007-10-13",39.4956
"2007-10-14",42.6105
"2007-10-15",40.449
"2007-10-16",39.4864
"2007-10-17",40.4382
"2007-10-18",36.8699
"2007-10-19",45.8004
"2007-10-20",42.8526
"2007-10-21",38.2923
"2007-10-22",43.2046
"2007-10-23",49.6209
"2007-10-24",56.9633
"2007-10-25",54.4942
"2007-10-26",45.7216
"2007-10-27",41.7317
"2007-10-28",44.3808
"2007-10-29",49.6643
"2007-10-30",37.7454
"2007-10-31",38.0975
"2007-11-01",40.0082
"2007-11-02",41.1557
"2007-11-03",43.245
"2007-11-04",44.7172
"2007-11-05",43.7245
"2007-11-06",42.4054
"2007-11-07",44.8331
"2007-11-08",40.1256
"2007-11-09",32.945
"2007-11-10",33.2393
"2007-11-11",39.9555
"2007-11-12",33.7111
"2007-11-13",39.8023
"2007-11-14",41.9328
"2007-11-15",46.2724
"2007-11-16",38.6325
"2007-11-17",35.9494
"2007-11-18",38.8089
"2007-11-19",38.0617
"2007-11-20",32.1022
"2007-11-21",27.2377
"2007-11-22",31.9051
"2007-11-23",27.7551
"2007-11-24",33.7314
"2007-11-25",35.8792
"2007-11-26",34.7149
"2007-11-27",33.7977
"2007-11-28",32.1543
"2007-11-29",36.0268
"2007-11-30",29.1778
"2007-12-01",22.9766
"2007-12-02",26.3014
"2007-12-03",34.1361
"2007-12-04",42.1513
"2007-12-05",42.57
"2007-12-06",38.1169
"2007-12-07",33.7451
"2007-12-08",25.8244
"2007-12-09",24.7188
"2007-12-10",26.7064
"2007-12-11",24.559
"2007-12-12",26.1496
"2007-12-13",26.9121
"2007-12-14",26.1691
"2007-12-15",30.528
"2007-12-16",28.9038
"2007-12-17",30.9344
"2007-12-18",35.1912
"2007-12-19",29.1762
"2007-12-20",28.7535
"2007-12-21",23.2459
"2007-12-22",22.9001
"2007-12-23",29.4879
"2007-12-24",35.0517
"2007-12-25",25.2563
"2007-12-26",26.2018
"2007-12-27",21.9457
"2007-12-28",28.6815
"2007-12-29",31.6087
"2007-12-30",32.6142
"2007-12-31",35.6333
"2008-01-01",37.0857
"2008-01-02",36.3369
"2008-01-03",37.9357
"2008-01-04",35.965
"2008-01-05",31.0671
"2008-01-06",29.5534
"2008-01-07",28.8223
"2008-01-08",29.5945
"2008-01-09",29.8585
"2008-01-10",36.9561
"2008-01-11",34.6181
"2008-01-12",33.5095
"2008-01-13",33.5527
"2008-01-14",35.4328
"2008-01-15",38.1772
"2008-01-16",27.5025
"2008-01-17",28.0782
"2008-01-18",28.0771
"2008-01-19",30.7857
"2008-01-20",28.2497
"2008-01-21",24.0498
"2008-01-22",29.946
"2008-01-23",32.1474
"2008-01-24",28.7964
"2008-01-25",32.5276
"2008-01-26",36.4548
"2008-01-27",37.2796
"2008-01-28",28.2555
"2008-01-29",23.581
"2008-01-30",26.0184
"2008-01-31",25.0246
"2008-02-01",25.9419
"2008-02-02",23.878
"2008-02-03",31.2469
"2008-02-04",26.4922
"2008-02-05",23.9918
"2008-02-06",26.983
"2008-02-07",29.1909
"2008-02-08",32.2619
"2008-02-09",34.7932
"2008-02-10",40.0764
"2008-02-11",38.5425
"2008-02-12",38.0516
"2008-02-13",38.7505
"2008-02-14",29.3211
"2008-02-15",26.757
"2008-02-16",29.66
"2008-02-17",33.287
"2008-02-18",32.617
"2008-02-19",34.8381
"2008-02-20",28.7663
"2008-02-21",30.9036
"2008-02-22",31.4875
"2008-02-23",26.9285
"2008-02-24",32.4437
"2008-02-25",30.8034
"2008-02-26",31.215
"2008-02-27",41.6422
"2008-02-28",37.4905
"2008-02-29",38.973
"2008-03-01",33.7987
"2008-03-02",27.2896
"2008-03-03",28.5861
"2008-03-04",34.5092
"2008-03-05",31.2926
"2008-03-06",32.684
"2008-03-07",36.4219
"2008-03-08",34.8766
"2008-03-09",34.6797
"2008-03-10",39.3777
"2008-03-11",39.5425
"2008-03-12",36.2631
"2008-03-13",41.3013
"2008-03-14",29.6368
"2008-03-15",25.0927
"2008-03-16",28.1973
"2008-03-17",27.5025
"2008-03-18",37.1349
"2008-03-19",34.4442
"2008-03-20",30.5721
"2008-03-21",26.6792
"2008-03-22",30.1921
"2008-03-23",41.306
"2008-03-24",38.7014
"2008-03-25",36.0176
"2008-03-26",30.6034
"2008-03-27",28.6995
"2008-03-28",26.7082
"2008-03-29",36.4332
"2008-03-30",29.7111
"2008-03-31",22.5237
"2008-04-01",32.153
"2008-04-02",32.9164
"2008-04-03",38.1551
"2008-04-04",35.8187
"2008-04-05",28.9499
"2008-04-06",30.2715
"2008-04-07",26.8669
"2008-04-08",26.118
"2008-04-09",26.7577
"2008-04-10",31.4298
"2008-04-11",38.8069
"2008-04-12",45.3555
"2008-04-13",49.0028
"2008-04-14",36.8994
"2008-04-15",26.2429
"2008-04-16",28.6855
"2008-04-17",37.7487
"2008-04-18",42.188
"2008-04-19",32.1571
"2008-04-20",25.5484
"2008-04-21",23.2446
"2008-04-22",28.1781
"2008-04-23",31.6098
"2008-04-24",26.852
"2008-04-25",34.3033
"2008-04-26",42.5527
"2008-04-27",49.5081
"2008-04-28",49.7734
"2008-04-29",39.6219
"2008-04-30",29.4039
"2008-05-01",29.5963
"2008-05-02",38.6321
"2008-05-03",38.158
"2008-05-04",36.3376
"2008-05-05",35.4853
"2008-05-06",39.7792
"2008-05-07",40.8187
"2008-05-08",34.6987
"2008-05-09",35.7813
"2008-05-10",37.1761
"2008-05-11",40.0602
"2008-05-12",38.2093
"2008-05-13",38.4078
"2008-05-14",47.7811
"2008-05-15",53.9458
"2008-05-16",58.5835
"2008-05-17",58.071
"2008-05-18",55.1203
"2008-05-19",50.5002
"2008-05-20",45.8688
"2008-05-21",38.2633
"2008-05-22",37.6556
"2008-05-23",32.4736
"2008-05-24",32.324
"2008-05-25",36.7725
"2008-05-26",32.1397
"2008-05-27",37.8298
"2008-05-28",33.085
"2008-05-29",33.328
"2008-05-30",36.7509
"2008-05-31",34.6888
"2008-06-01",37.7269
"2008-06-02",36.5387
"2008-06-03",39.9864
"2008-06-04",36.6229
"2008-06-05",37.5179
"2008-06-06",42.6607
"2008-06-07",34.9727
"2008-06-08",43.4316
"2008-06-09",50.839
"2008-06-10",50.9081
"2008-06-11",45.6849
"2008-06-12",47.4611
"2008-06-13",53.4979
"2008-06-14",46.0573
"2008-06-15",48.4444
"2008-06-16",51.3313
"2008-06-17",49.8909
"2008-06-18",53.9847
"2008-06-19",57.0974
"2008-06-20",61.4784
"2008-06-21",66.1586
"2008-06-22",55.0571
"2008-06-23",46.06
"2008-06-24",45.8701
"2008-06-25",46.6878
"2008-06-26",46.5078
"2008-06-27",54.5047
"2008-06-28",47.6208
"2008-06-29",44.7255
"2008-06-30",48.2641
"2008-07-01",47.7559
"2008-07-02",52.0619
"2008-07-03",50.9731
"2008-07-04",48.5931
"2008-07-05",50.0731
"2008-07-06",54.4069
"2008-07-07",59.7895
"2008-07-08",64.8514
"2008-07-09",63.3472
"2008-07-10",68.3751
"2008-07-11",53.7183
"2008-07-12",49.2429
"2008-07-13",53.2839
"2008-07-14",55.4554
"2008-07-15",54.5691
"2008-07-16",54.2748
"2008-07-17",56.4024
"2008-07-18",51.6886
"2008-07-19",56.3058
"2008-07-20",50.1049
"2008-07-21",44.771
"2008-07-22",45.869
"2008-07-23",53.5375
"2008-07-24",53.1554
"2008-07-25",56.241
"2008-07-26",56.6785
"2008-07-27",50.6098
"2008-07-28",48.2054
"2008-07-29",50.5564
"2008-07-30",48.6054
"2008-07-31",49.5811
"2008-08-01",51.6281
"2008-08-02",54.4836
"2008-08-03",51.206
"2008-08-04",47.9876
"2008-08-05",53.9564
"2008-08-06",57.1955
"2008-08-07",55.1937
"2008-08-08",46.0333
"2008-08-09",42.7026
"2008-08-10",47.3752
"2008-08-11",53.4531
"2008-08-12",55.5667
"2008-08-13",60.5208
"2008-08-14",58.5405
"2008-08-15",61.9158
"2008-08-16",57.0375
"2008-08-17",50.5432
"2008-08-18",46.107
"2008-08-19",42.8839
"2008-08-20",45.0721
"2008-08-21",52.1355
"2008-08-22",52.5585
"2008-08-23",51.8943
"2008-08-24",52.3668
"2008-08-25",54.2829
"2008-08-26",49.8641
"2008-08-27",56.2253
"2008-08-28",61.7185
"2008-08-29",62.7206
"2008-08-30",56.0952
"2008-08-31",46.4367
"2008-09-01",43.7644
"2008-09-02",48.6617
"2008-09-03",55.9024
"2008-09-04",55.1071
"2008-09-05",58.0042
"2008-09-06",61.3445
"2008-09-07",60.9462
"2008-09-08",53.7971
"2008-09-09",45.5279
"2008-09-10",39.8199
"2008-09-11",51.143
"2008-09-12",49.0928
"2008-09-13",47.1436
"2008-09-14",52.7947
"2008-09-15",55.6219
"2008-09-16",50.7466
"2008-09-17",40.4341
"2008-09-18",40.2672
"2008-09-19",39.3935
"2008-09-20",40.0208
"2008-09-21",38.766
"2008-09-22",40.9078
"2008-09-23",47.7795
"2008-09-24",50.373
"2008-09-25",53.3005
"2008-09-26",54.9432
"2008-09-27",53.1198
"2008-09-28",56.2366
"2008-09-29",46.4461
"2008-09-30",53.4135
"2008-10-01",51.4204
"2008-10-02",52.1377
"2008-10-03",41.2209
"2008-10-04",43.088
"2008-10-05",37.8559
"2008-10-06",38.9041
"2008-10-07",43.4091
"2008-10-08",49.3223
"2008-10-09",43.2084
"2008-10-10",33.7746
"2008-10-11",31.2886
"2008-10-12",30.8064
"2008-10-13",33.7035
"2008-10-14",41.4833
"2008-10-15",45.0439
"2008-10-16",47.6065
"2008-10-17",50.5378
"2008-10-18",47.1022
"2008-10-19",39.5724
"2008-10-20",37.3422
"2008-10-21",41.3683
"2008-10-22",45.3472
"2008-10-23",51.1988
"2008-10-24",52.772
"2008-10-25",48.6721
"2008-10-26",48.9229
"2008-10-27",50.0698
"2008-10-28",48.3823
"2008-10-29",50.2756
"2008-10-30",48.2005
"2008-10-31",48.529
"2008-11-01",47.8659
"2008-11-02",41.7916
"2008-11-03",38.903
"2008-11-04",36.9565
"2008-11-05",33.8653
"2008-11-06",39.1728
"2008-11-07",41.5213
"2008-11-08",44.316
"2008-11-09",37.9679
"2008-11-10",33.9595
"2008-11-11",39.1136
"2008-11-12",41.6935
"2008-11-13",43.5119
"2008-11-14",48.3197
"2008-11-15",51.5057
"2008-11-16",51.1311
"2008-11-17",51.3504
"2008-11-18",50.6017
"2008-11-19",47.2804
"2008-11-20",38.5761
"2008-11-21",34.4082
"2008-11-22",38.7226
"2008-11-23",38.1533
"2008-11-24",38.0458
"2008-11-25",39.8926
"2008-11-26",43.4844
"2008-11-27",41.6048
"2008-11-28",37.5069
"2008-11-29",35.9022
"2008-11-30",42.1894
"2008-12-01",45.0073
"2008-12-02",39.3487
"2008-12-03",33.8727
"2008-12-04",33.822
"2008-12-05",36.2916
"2008-12-06",40.4218
"2008-12-07",39.4198
"2008-12-08",29.5119
"2008-12-09",28.909
"2008-12-10",34.101
"2008-12-11",37.8417
"2008-12-12",35.3838
"2008-12-13",31.9854
"2008-12-14",29.0723
"2008-12-15",31.3803
"2008-12-16",28.2117
"2008-12-17",24.1232
"2008-12-18",22.9941
"2008-12-19",28.3744
"2008-12-20",26.2074
"2008-12-21",30.8705
"2008-12-22",32.8015
"2008-12-23",29.961
"2008-12-24",34.1533
"2008-12-25",29.8963
"2008-12-26",25.9318
"2008-12-27",26.2944
"2008-12-28",29.4973
"2008-12-29",34.0909
"2008-12-30",34.1238
"2008-12-31",31.849
"2009-01-01",25.3974
"2009-01-02",29.9428
"2009-01-03",19.445
"2009-01-04",17.2
"2009-01-05",24.0825
"2009-01-06",25.2617
"2009-01-07",27.007
"2009-01-08",30.4909
"2009-01-09",23.8035
"2009-01-10",27.4856
"2009-01-11",31.0357
"2009-01-12",33.5478
"2009-01-13",36.8985
"2009-01-14",39.9178
"2009-01-15",36.6904
"2009-01-16",38.3931
"2009-01-17",35.7307
"2009-01-18",34.6734
"2009-01-19",34.4358
"2009-01-20",35.2198
"2009-01-21",39.0353
"2009-01-22",34.4563
"2009-01-23",37.4306
"2009-01-24",32.8539
"2009-01-25",25.6019
"2009-01-26",21.5092
"2009-01-27",18.2248
"2009-01-28",24.0127
"2009-01-29",26.4313
"2009-01-30",31.6972
"2009-01-31",36.4735
"2009-02-01",33.589
"2009-02-02",35.9778
"2009-02-03",38.624
"2009-02-04",37.7029
"2009-02-05",33.8245
"2009-02-06",35.2504
"2009-02-07",33.3432
"2009-02-08",29.1315
"2009-02-09",27.8904
"2009-02-10",23.5017
"2009-02-11",26.195
"2009-02-12",26.4582
"2009-02-13",28.4909
"2009-02-14",25.6514
"2009-02-15",32.6986
"2009-02-16",32.5047
"2009-02-17",30.2553
"2009-02-18",26.0258
"2009-02-19",32.1199
"2009-02-20",32.3604
"2009-02-21",37.0216
"2009-02-22",39.5056
"2009-02-23",40.3813
"2009-02-24",34.977
"2009-02-25",30.5802
"2009-02-26",35.2452
"2009-02-27",30.0366
"2009-02-28",35.1316
"2009-03-01",42.3964
"2009-03-02",37.2099
"2009-03-03",32.1953
"2009-03-04",28.0796
"2009-03-05",25.7794
"2009-03-06",26.1392
"2009-03-07",27.5194
"2009-03-08",30.724
"2009-03-09",24.366
"2009-03-10",22.6375
"2009-03-11",25.351
"2009-03-12",28.9506
"2009-03-13",34.2523
"2009-03-14",29.0426
"2009-03-15",27.8132
"2009-03-16",32.7072
"2009-03-17",36.9858
"2009-03-18",35.2695
"2009-03-19",41.5935
"2009-03-20",39.1582
"2009-03-21",33.5275
"2009-03-22",28.6243
"2009-03-23",23.2309
"2009-03-24",25.1609
"2009-03-25",33.1513
"2009-03-26",37.8903
"2009-03-27",37.5856
"2009-03-28",43.2529
"2009-03-29",38.3499
"2009-03-30",31.1293
"2009-03-31",33.157
"2009-04-01",36.1663
"2009-04-02",36.0763
"2009-04-03",28.3143
"2009-04-04",26.5903
"2009-04-05",31.0572
"2009-04-06",37.0096
"2009-04-07",33.319
"2009-04-08",32.9374
"2009-04-09",30.5397
"2009-04-10",32.9814
"2009-04-11",28.947
"2009-04-12",32.1908
"2009-04-13",37.2978
"2009-04-14",29.561
"2009-04-15",24.2461
"2009-04-16",24.1939
"2009-04-17",31.4517
"2009-04-18",41.0346
"2009-04-19",44.5377
"2009-04-20",50.7526
"2009-04-21",53.7296
"2009-04-22",52.9371
"2009-04-23",40.129
"2009-04-24",33.2195
"2009-04-25",25.5922
"2009-04-26",27.7716
"2009-04-27",30.9263
"2009-04-28",25.9939
"2009-04-29",25.7965
"2009-04-30",31.9993
"2009-05-01",43.7594
"2009-05-02",42.1765
"2009-05-03",46.3397
"2009-05-04",44.7123
"2009-05-05",48.2725
"2009-05-06",43.9513
"2009-05-07",44.0508
"2009-05-08",45.8227
"2009-05-09",45.6807
"2009-05-10",47.0212
"2009-05-11",46.1628
"2009-05-12",40.1275
"2009-05-13",43.4552
"2009-05-14",45.536
"2009-05-15",45.7826
"2009-05-16",52.8692
"2009-05-17",65.7441
"2009-05-18",58.4013
"2009-05-19",46.9366
"2009-05-20",48.5517
"2009-05-21",49.4449
"2009-05-22",45.873
"2009-05-23",42.4222
"2009-05-24",38.4769
"2009-05-25",40.0458
"2009-05-26",46.5183
"2009-05-27",53.5111
"2009-05-28",51.5212
"2009-05-29",46.4286
"2009-05-30",45.3348
"2009-05-31",50.9844
"2009-06-01",47.6872
"2009-06-02",46.1035
"2009-06-03",46.4243
"2009-06-04",43.0083
"2009-06-05",45.433
"2009-06-06",42.6929
"2009-06-07",43.1784
"2009-06-08",46.4686
"2009-06-09",43.0727
"2009-06-10",45.0745
"2009-06-11",43.344
"2009-06-12",45.3326
"2009-06-13",44.9917
"2009-06-14",44.4661
"2009-06-15",45.2804
"2009-06-16",50.0529
"2009-06-17",49.7613
"2009-06-18",55.3878
"2009-06-19",61.1825
"2009-06-20",44.8833
"2009-06-21",42.5955
"2009-06-22",46.3113
"2009-06-23",52.8741
"2009-06-24",52.7824
"2009-06-25",48.0432
"2009-06-26",51.6724
"2009-06-27",62.7544
"2009-06-28",69.1988
"2009-06-29",66.195
"2009-06-30",50.2855
"2009-07-01",52.1971
"2009-07-02",51.2373
"2009-07-03",49.3677
"2009-07-04",50.824
"2009-07-05",43.8958
"2009-07-06",42.408
"2009-07-07",44.0773
"2009-07-08",43.7088
"2009-07-09",43.3594
"2009-07-10",45.6989
"2009-07-11",50.5474
"2009-07-12",48.1195
"2009-07-13",49.6922
"2009-07-14",58.5448
"2009-07-15",58.4717
"2009-07-16",53.7042
"2009-07-17",59.9128
"2009-07-18",60.9692
"2009-07-19",63.8528
"2009-07-20",60.5059
"2009-07-21",56.7612
"2009-07-22",54.8422
"2009-07-23",52.504
"2009-07-24",51.5543
"2009-07-25",48.7128
"2009-07-26",56.1605
"2009-07-27",58.6555
"2009-07-28",56.5583
"2009-07-29",51.5107
"2009-07-30",52.731
"2009-07-31",50.5623
"2009-08-01",50.1202
"2009-08-02",45.2428
"2009-08-03",44.0296
"2009-08-04",45.5077
"2009-08-05",45.6535
"2009-08-06",41.7295
"2009-08-07",41.8905
"2009-08-08",47.208
"2009-08-09",55.3208
"2009-08-10",59.8091
"2009-08-11",50.9202
"2009-08-12",52.5159
"2009-08-13",54.2889
"2009-08-14",48.4254
"2009-08-15",44.0413
"2009-08-16",50.2032
"2009-08-17",52.281
"2009-08-18",54.0376
"2009-08-19",57.848
"2009-08-20",49.2206
"2009-08-21",54.4831
"2009-08-22",61.4874
"2009-08-23",55.3631
"2009-08-24",47.4341
"2009-08-25",46.3996
"2009-08-26",51.6157
"2009-08-27",50.1687
"2009-08-28",59.9711
"2009-08-29",64.3519
"2009-08-30",58.95
"2009-08-31",53.1122
"2009-09-01",55.2006
"2009-09-02",62.5143
"2009-09-03",55.3334
"2009-09-04",53.7762
"2009-09-05",40.388
"2009-09-06",42.6076
"2009-09-07",39.9997
"2009-09-08",42.6947
"2009-09-09",44.3039
"2009-09-10",56.2089
"2009-09-11",57.2362
"2009-09-12",55.4965
"2009-09-13",41.9124
"2009-09-14",39.6243
"2009-09-15",41.0295
"2009-09-16",45.3565
"2009-09-17",48.0117
"2009-09-18",55.4182
"2009-09-19",52.2874
"2009-09-20",49.5559
"2009-09-21",54.3618
"2009-09-22",55.9171
"2009-09-23",61.0259
"2009-09-24",57.5926
"2009-09-25",55.8325
"2009-09-26",59.2628
"2009-09-27",64.6457
"2009-09-28",51.849
"2009-09-29",40.384
"2009-09-30",37.8037
"2009-10-01",44.0672
"2009-10-02",49.3515
"2009-10-03",45.6787
"2009-10-04",35.8477
"2009-10-05",33.3048
"2009-10-06",41.2394
"2009-10-07",45.5427
"2009-10-08",44.5744
"2009-10-09",48.0007
"2009-10-10",47.9939
"2009-10-11",44.647
"2009-10-12",39.7569
"2009-10-13",45.7628
"2009-10-14",48.7953
"2009-10-15",50.6732
"2009-10-16",51.4585
"2009-10-17",55.7335
"2009-10-18",52.191
"2009-10-19",41.9493
"2009-10-20",40.806
"2009-10-21",43.6467
"2009-10-22",46.6266
"2009-10-23",48.2128
"2009-10-24",53.9625
"2009-10-25",49.3723
"2009-10-26",50.8039
"2009-10-27",40.946
"2009-10-28",36.7918
"2009-10-29",33.5367
"2009-10-30",40.3936
"2009-10-31",41.65
"2009-11-01",44.4135
"2009-11-02",46.6399
"2009-11-03",49.6495
"2009-11-04",45.948
"2009-11-05",38.597
"2009-11-06",39.1951
"2009-11-07",37.375
"2009-11-08",33.4701
"2009-11-09",36.6762
"2009-11-10",40.4283
"2009-11-11",44.9649
"2009-11-12",38.8922
"2009-11-13",29.1468
"2009-11-14",30.5686
