,"(deg F) Mean Temperature (gridMET) at Lands, 2006-12-01 to 2021-09-30"
"2007-08-06",60.9755
"2007-08-07",60.9523
"2007-08-08",63.6382
"2007-08-09",67.0813
"2007-08-10",71.3836
"2007-08-11",70.1733
"2007-08-12",70.263
"2007-08-13",73.227
"2007-08-14",73.5312
"2007-08-15",70.0891
"2007-08-16",67.2076
"2007-08-17",67.9586
"2007-08-18",68.5492
"2007-08-19",67.7415
"2007-08-20",72.8994
"2007-08-21",75.6005
"2007-08-22",76.843
"2007-08-23",73.2171
"2007-08-24",71.1817
"2007-08-25",70.0518
"2007-08-26",69.8439
"2007-08-27",75.4662
"2007-08-28",77.7852
"2007-08-29",82.8597
"2007-08-30",84.3474
"2007-08-31",82.8934
"2007-09-01",83.5221
"2007-09-02",82.5724
"2007-09-03",79.5403
"2007-09-04",70.1899
"2007-09-05",70.4496
"2007-09-06",74.7217
"2007-09-07",67.4553
"2007-09-08",70.4494
"2007-09-09",68.8458
"2007-09-10",69.9744
"2007-09-11",70.3053
"2007-09-12",66.3607
"2007-09-13",61.243
"2007-09-14",60.0748
"2007-09-15",64.3885
"2007-09-16",59.063
"2007-09-17",60.2215
"2007-09-18",64.2058
"2007-09-19",54.5758
"2007-09-20",51.2762
"2007-09-21",60.3784
"2007-09-22",55.9202
"2007-09-23",57.8527
"2007-09-24",61.1467
"2007-09-25",66.8271
"2007-09-26",71.15
"2007-09-27",70.2329
"2007-09-28",55.526
"2007-09-29",55.575
"2007-09-30",63.0763
"2007-10-01",59.3137
"2007-10-02",65.4786
"2007-10-03",69.489
"2007-10-04",54.2224
"2007-10-05",48.8223
"2007-10-06",51.7066
"2007-10-07",60.7093
"2007-10-08",66.8226
"2007-10-09",60.4929
"2007-10-10",57.1192
"2007-10-11",55.9317
"2007-10-12",50.1586
"2007-10-13",55.0078
"2007-10-14",59.1634
"2007-10-15",55.8712
"2007-10-16",53.5168
"2007-10-17",52.6163
"2007-10-18",53.5487
"2007-10-19",62.098
"2007-10-20",55.0472
"2007-10-21",55.2151
"2007-10-22",64.0764
"2007-10-23",70.1573
"2007-10-24",74.7491
"2007-10-25",71.2128
"2007-10-26",63.232
"2007-10-27",57.4536
"2007-10-28",60.3133
"2007-10-29",62.7739
"2007-10-30",54.795
"2007-10-31",53.6585
"2007-11-01",56.8035
"2007-11-02",59.2194
"2007-11-03",61.1596
"2007-11-04",62.8691
"2007-11-05",61.2126
"2007-11-06",59.6239
"2007-11-07",62.0956
"2007-11-08",56.5426
"2007-11-09",46.6045
"2007-11-10",49.0102
"2007-11-11",49.5045
"2007-11-12",50.4109
"2007-11-13",54.9066
"2007-11-14",58.7811
"2007-11-15",61.2784
"2007-11-16",53.6464
"2007-11-17",52.2023
"2007-11-18",54.2896
"2007-11-19",53.2965
"2007-11-20",47.2518
"2007-11-21",45.5733
"2007-11-22",47.9064
"2007-11-23",45.3452
"2007-11-24",49.824
"2007-11-25",50.2938
"2007-11-26",50.1199
"2007-11-27",49.6431
"2007-11-28",49.5118
"2007-11-29",51.5286
"2007-11-30",42.4949
"2007-12-01",38.1549
"2007-12-02",42.4303
"2007-12-03",51.6097
"2007-12-04",57.7711
"2007-12-05",56.7637
"2007-12-06",48.2441
"2007-12-07",45.2829
"2007-12-08",38.8902
"2007-12-09",40.8348
"2007-12-10",42.4101
"2007-12-11",40.854
"2007-12-12",39.5539
"2007-12-13",41.716
"2007-12-14",43.2822
"2007-12-15",45.3868
"2007-12-16",43.2181
"2007-12-17",44.2368
"2007-12-18",45.147
"2007-12-19",44.0922
"2007-12-20",40.2687
"2007-12-21",37.4815
"2007-12-22",39.7558
"2007-12-23",46.6509
"2007-12-24",48.7391
"2007-12-25",40.942
"2007-12-26",37.9648
"2007-12-27",34.6476
"2007-12-28",40.732
"2007-12-29",44.7733
"2007-12-30",46.2542
"2007-12-31",47.3286
"2008-01-01",52.2523
"2008-01-02",51.9735
"2008-01-03",48.096
"2008-01-04",46.6272
"2008-01-05",41.7326
"2008-01-06",39.2097
"2008-01-07",39.2828
"2008-01-08",39.6475
"2008-01-09",42.0937
"2008-01-10",45.7221
"2008-01-11",48.2274
"2008-01-12",47.728
"2008-01-13",49.3239
"2008-01-14",52.5742
"2008-01-15",51.9008
"2008-01-16",41.8386
"2008-01-17",43.083
"2008-01-18",44.4432
"2008-01-19",47.361
"2008-01-20",41.6545
"2008-01-21",36.469
"2008-01-22",37.1602
"2008-01-23",40.9312
"2008-01-24",37.2526
"2008-01-25",41.5449
"2008-01-26",47.7565
"2008-01-27",44.8266
"2008-01-28",37.7096
"2008-01-29",35.0026
"2008-01-30",36.2831
"2008-01-31",38.1628
"2008-02-01",39.1276
"2008-02-02",37.5211
"2008-02-03",40.6229
"2008-02-04",39.6387
"2008-02-05",39.8478
"2008-02-06",42.2024
"2008-02-07",46.4153
"2008-02-08",50.0682
"2008-02-09",53.8351
"2008-02-10",56.709
"2008-02-11",55.3987
"2008-02-12",57.0567
"2008-02-13",53.5401
"2008-02-14",43.3368
"2008-02-15",43.7437
"2008-02-16",47.1045
"2008-02-17",49.4661
"2008-02-18",48.8059
"2008-02-19",46.7596
"2008-02-20",41.061
"2008-02-21",42.3707
"2008-02-22",41.4657
"2008-02-23",40.9114
"2008-02-24",42.9624
"2008-02-25",45.6849
"2008-02-26",51.6936
"2008-02-27",57.7067
"2008-02-28",54.9597
"2008-02-29",56.9046
"2008-03-01",46.0636
"2008-03-02",44.3646
"2008-03-03",48.2999
"2008-03-04",52.1398
"2008-03-05",49.7239
"2008-03-06",51.1786
"2008-03-07",54.2781
"2008-03-08",52.5164
"2008-03-09",53.3399
"2008-03-10",56.6789
"2008-03-11",57.0412
"2008-03-12",53.6493
"2008-03-13",55.4144
"2008-03-14",44.7847
"2008-03-15",37.7857
"2008-03-16",43.5367
"2008-03-17",46.3937
"2008-03-18",53.4331
"2008-03-19",50.2779
"2008-03-20",46.9152
"2008-03-21",47.4827
"2008-03-22",52.5153
"2008-03-23",60.7791
"2008-03-24",57.4261
"2008-03-25",52.4934
"2008-03-26",47.7046
"2008-03-27",43.6645
"2008-03-28",44.4184
"2008-03-29",51.1515
"2008-03-30",43.7956
"2008-03-31",41.9194
"2008-04-01",47.3799
"2008-04-02",45.4183
"2008-04-03",54.266
"2008-04-04",53.4085
"2008-04-05",46.7062
"2008-04-06",48.591
"2008-04-07",46.7431
"2008-04-08",41.7294
"2008-04-09",45.1087
"2008-04-10",51.5386
"2008-04-11",59.7929
"2008-04-12",65.4503
"2008-04-13",68.8604
"2008-04-14",55.6065
"2008-04-15",43.6352
"2008-04-16",49.5774
"2008-04-17",58.8888
"2008-04-18",60.7276
"2008-04-19",46.8457
"2008-04-20",41.351
"2008-04-21",42.6529
"2008-04-22",46.1692
"2008-04-23",47.912
"2008-04-24",48.5947
"2008-04-25",56.4247
"2008-04-26",63.8794
"2008-04-27",69.6774
"2008-04-28",67.8348
"2008-04-29",55.3239
"2008-04-30",47.0557
"2008-05-01",49.2022
"2008-05-02",57.2812
"2008-05-03",56.7802
"2008-05-04",55.3048
"2008-05-05",55.2736
"2008-05-06",61.158
"2008-05-07",55.8291
"2008-05-08",55.8156
"2008-05-09",55.9301
"2008-05-10",58.5984
"2008-05-11",59.9095
"2008-05-12",55.018
"2008-05-13",59.8962
"2008-05-14",67.9964
"2008-05-15",75.0664
"2008-05-16",79.0678
"2008-05-17",78.6346
"2008-05-18",75.5568
"2008-05-19",71.2485
"2008-05-20",64.4306
"2008-05-21",55.6135
"2008-05-22",53.5291
"2008-05-23",52.4944
"2008-05-24",47.3554
"2008-05-25",48.2596
"2008-05-26",50.6476
"2008-05-27",51.7275
"2008-05-28",51.3241
"2008-05-29",52.6159
"2008-05-30",57.601
"2008-05-31",53.7442
"2008-06-01",56.3508
"2008-06-02",56.9615
"2008-06-03",58.0215
"2008-06-04",53.9566
"2008-06-05",58.4465
"2008-06-06",60.251
"2008-06-07",57.5807
"2008-06-08",65.2267
"2008-06-09",71.2764
"2008-06-10",69.8144
"2008-06-11",65.4019
"2008-06-12",67.9069
"2008-06-13",73.5357
"2008-06-14",68.5492
"2008-06-15",69.4706
"2008-06-16",71.6072
"2008-06-17",71.2728
"2008-06-18",74.1409
"2008-06-19",77.5027
"2008-06-20",80.2845
"2008-06-21",81.6859
"2008-06-22",74.1186
"2008-06-23",66.6788
"2008-06-24",67.8331
"2008-06-25",67.3101
"2008-06-26",67.7613
"2008-06-27",73.8955
"2008-06-28",69.318
"2008-06-29",66.758
"2008-06-30",68.3798
"2008-07-01",68.5686
"2008-07-02",70.065
"2008-07-03",69.8657
"2008-07-04",66.7674
"2008-07-05",70.828
"2008-07-06",73.7438
"2008-07-07",80.0586
"2008-07-08",85.3223
"2008-07-09",82.8484
"2008-07-10",86.0202
"2008-07-11",72.1438
"2008-07-12",69.1633
"2008-07-13",73.5307
"2008-07-14",73.402
"2008-07-15",73.3417
"2008-07-16",74.2017
"2008-07-17",74.0457
"2008-07-18",73.0524
"2008-07-19",75.2126
"2008-07-20",68.1465
"2008-07-21",64.6848
"2008-07-22",67.0845
"2008-07-23",73.1827
"2008-07-24",73.8336
"2008-07-25",76.5
"2008-07-26",76.174
"2008-07-27",68.315
"2008-07-28",68.1845
"2008-07-29",69.0663
"2008-07-30",69.5651
"2008-07-31",71.0051
"2008-08-01",73.3357
"2008-08-02",74.6884
"2008-08-03",71.7728
"2008-08-04",69.7338
"2008-08-05",71.8354
"2008-08-06",75.3933
"2008-08-07",73.2337
"2008-08-08",66.0121
"2008-08-09",64.247
"2008-08-10",68.698
"2008-08-11",73.6583
"2008-08-12",76.0753
"2008-08-13",79.9696
"2008-08-14",79.3323
"2008-08-15",80.8315
"2008-08-16",76.2487
"2008-08-17",68.2916
"2008-08-18",66.2758
"2008-08-19",60.8763
"2008-08-20",65.3104
"2008-08-21",71.4047
"2008-08-22",71.6207
"2008-08-23",70.9074
"2008-08-24",73.6435
"2008-08-25",73.2709
"2008-08-26",70.4784
"2008-08-27",75.5488
"2008-08-28",81.4714
"2008-08-29",82.9355
"2008-08-30",74.9817
"2008-08-31",65.979
"2008-09-01",63.7414
"2008-09-02",69.8769
"2008-09-03",75.3732
"2008-09-04",75.6453
"2008-09-05",78.816
"2008-09-06",82.2105
"2008-09-07",80.0962
"2008-09-08",73.5129
"2008-09-09",64.927
"2008-09-10",60.6065
"2008-09-11",71.2987
"2008-09-12",70.1985
"2008-09-13",68.9967
"2008-09-14",72.9129
"2008-09-15",75.1941
"2008-09-16",70.6995
"2008-09-17",61.1829
"2008-09-18",61.3677
"2008-09-19",59.1035
"2008-09-20",57.3206
"2008-09-21",57.3397
"2008-09-22",61.6496
"2008-09-23",68.0063
"2008-09-24",69.6628
"2008-09-25",71.316
"2008-09-26",72.0252
"2008-09-27",71.5392
"2008-09-28",73.6401
"2008-09-29",66.6018
"2008-09-30",72.963
"2008-10-01",71.6806
"2008-10-02",66.5236
"2008-10-03",58.1635
"2008-10-04",56.2345
"2008-10-05",54.7509
"2008-10-06",59.8703
"2008-10-07",66.1055
"2008-10-08",68.7241
"2008-10-09",59.4808
"2008-10-10",47.4741
"2008-10-11",46.5328
"2008-10-12",47.9233
"2008-10-13",53.5564
"2008-10-14",61.403
"2008-10-15",65.6456
"2008-10-16",68.2389
"2008-10-17",69.8229
"2008-10-18",63.198
"2008-10-19",58.8614
"2008-10-20",56.6208
"2008-10-21",60.8342
"2008-10-22",68.074
"2008-10-23",70.2214
"2008-10-24",70.2203
"2008-10-25",68.5173
"2008-10-26",67.923
"2008-10-27",67.5921
"2008-10-28",66.5573
"2008-10-29",68.3235
"2008-10-30",63.0898
"2008-10-31",56.6706
"2008-11-01",56.8609
"2008-11-02",53.0064
"2008-11-03",50.9122
"2008-11-04",48.9709
"2008-11-05",47.1362
"2008-11-06",53.8975
"2008-11-07",59.9913
"2008-11-08",58.9987
"2008-11-09",49.0606
"2008-11-10",48.8115
"2008-11-11",53.0733
"2008-11-12",56.8204
"2008-11-13",59.3127
"2008-11-14",64.1593
"2008-11-15",69.1074
"2008-11-16",68.4876
"2008-11-17",68.1888
"2008-11-18",66.7071
"2008-11-19",62.2789
"2008-11-20",52.1618
"2008-11-21",51.1365
"2008-11-22",55.1822
"2008-11-23",55.3383
"2008-11-24",52.0399
"2008-11-25",50.7524
"2008-11-26",50.4608
"2008-11-27",51.1165
"2008-11-28",50.5368
"2008-11-29",53.1068
"2008-11-30",59.5611
"2008-12-01",60.2263
"2008-12-02",53.0737
"2008-12-03",49.7655
"2008-12-04",49.0599
"2008-12-05",52.7535
"2008-12-06",56.3446
"2008-12-07",51.2249
"2008-12-08",44.4621
"2008-12-09",45.0675
"2008-12-10",50.8591
"2008-12-11",54.5083
"2008-12-12",51.1806
"2008-12-13",42.1655
"2008-12-14",38.1133
"2008-12-15",39.0276
"2008-12-16",37.3955
"2008-12-17",36.7286
"2008-12-18",35.9274
"2008-12-19",39.6939
"2008-12-20",38.2883
"2008-12-21",42.4962
"2008-12-22",40.7106
"2008-12-23",38.1686
"2008-12-24",42.1153
"2008-12-25",38.9097
"2008-12-26",36.4867
"2008-12-27",37.7667
"2008-12-28",42.6429
"2008-12-29",47.5533
"2008-12-30",47.7109
"2008-12-31",46.5615
"2009-01-01",44.2859
"2009-01-02",45.6375
"2009-01-03",35.0154
"2009-01-04",35.3444
"2009-01-05",36.0806
"2009-01-06",42.6945
"2009-01-07",46.2083
"2009-01-08",48.52
"2009-01-09",42.186
"2009-01-10",47.9424
"2009-01-11",51.7872
"2009-01-12",55.204
"2009-01-13",57.4041
"2009-01-14",59.3112
"2009-01-15",57.6727
"2009-01-16",57.9058
"2009-01-17",55.0593
"2009-01-18",54.2156
"2009-01-19",54.3992
"2009-01-20",55.1831
"2009-01-21",51.4872
"2009-01-22",45.6179
"2009-01-23",47.2986
"2009-01-24",46.2436
"2009-01-25",38.7261
"2009-01-26",37.7994
"2009-01-27",36.6242
"2009-01-28",43.9171
"2009-01-29",47.743
"2009-01-30",52.7877
"2009-01-31",53.1475
"2009-02-01",50.5864
"2009-02-02",54.813
"2009-02-03",56.9169
"2009-02-04",54.2572
"2009-02-05",43.7137
"2009-02-06",43.1818
"2009-02-07",46.2355
"2009-02-08",43.5889
"2009-02-09",37.9405
"2009-02-10",36.9621
"2009-02-11",39.6878
"2009-02-12",39.132
"2009-02-13",39.029
"2009-02-14",38.8
"2009-02-15",43.5529
"2009-02-16",41.5341
"2009-02-17",40.973
"2009-02-18",41.9041
"2009-02-19",48.0132
"2009-02-20",48.4597
"2009-02-21",52.3171
"2009-02-22",50.8883
"2009-02-23",51.3183
"2009-02-24",49.3104
"2009-02-25",45.5142
"2009-02-26",48.7967
"2009-02-27",45.849
"2009-02-28",54.9865
"2009-03-01",54.8902
"2009-03-02",47.5741
"2009-03-03",43.1564
"2009-03-04",40.9993
"2009-03-05",40.4247
"2009-03-06",41.2558
"2009-03-07",43.2838
"2009-03-08",46.3215
"2009-03-09",39.0942
"2009-03-10",40.0118
"2009-03-11",43.0115
"2009-03-12",47.1004
"2009-03-13",51.9804
"2009-03-14",46.2351
"2009-03-15",45.0392
"2009-03-16",49.6647
"2009-03-17",54.0243
"2009-03-18",55.0447
"2009-03-19",58.8999
"2009-03-20",57.4579
"2009-03-21",46.3878
"2009-03-22",40.2919
"2009-03-23",40.336
"2009-03-24",45.0525
"2009-03-25",52.8242
"2009-03-26",55.2805
"2009-03-27",56.5824
"2009-03-28",61.0581
"2009-03-29",53.6724
"2009-03-30",49.2444
"2009-03-31",52.1805
"2009-04-01",53.2447
"2009-04-02",52.6674
"2009-04-03",44.5305
"2009-04-04",44.991
"2009-04-05",51.453
"2009-04-06",56.6924
"2009-04-07",44.0407
"2009-04-08",45.9165
"2009-04-09",44.7226
"2009-04-10",47.1333
"2009-04-11",46.3287
"2009-04-12",52.1553
"2009-04-13",54.2415
"2009-04-14",41.9439
"2009-04-15",40.4595
"2009-04-16",44.9407
"2009-04-17",52.3639
"2009-04-18",60.1324
"2009-04-19",66.0513
"2009-04-20",71.2468
"2009-04-21",73.4506
"2009-04-22",71.9283
"2009-04-23",56.9071
"2009-04-24",47.9071
"2009-04-25",45.5058
"2009-04-26",48.3044
"2009-04-27",48.4954
"2009-04-28",43.9482
"2009-04-29",46.616
"2009-04-30",51.8668
"2009-05-01",52.6732
"2009-05-02",52.7158
"2009-05-03",55.1991
"2009-05-04",57.6136
"2009-05-05",60.2024
"2009-05-06",60.904
"2009-05-07",62.7013
"2009-05-08",64.0927
"2009-05-09",64.3424
"2009-05-10",65.7144
"2009-05-11",64.0695
"2009-05-12",59.0787
"2009-05-13",60.5052
"2009-05-14",62.7458
"2009-05-15",65.5471
"2009-05-16",75.3975
"2009-05-17",83.395
"2009-05-18",75.3922
"2009-05-19",65.9426
"2009-05-20",66.4824
"2009-05-21",67.1657
"2009-05-22",65.0255
"2009-05-23",61.2586
"2009-05-24",58.3734
"2009-05-25",61.1001
"2009-05-26",67.5921
"2009-05-27",72.547
"2009-05-28",71.4729
"2009-05-29",65.6998
"2009-05-30",65.4841
"2009-05-31",67.1677
"2009-06-01",61.7617
"2009-06-02",60.3014
"2009-06-03",61.218
"2009-06-04",56.0435
"2009-06-05",55.6527
"2009-06-06",56.2492
"2009-06-07",59.5274
"2009-06-08",61.8618
"2009-06-09",58.8762
"2009-06-10",57.6723
"2009-06-11",59.6511
"2009-06-12",60.0377
"2009-06-13",59.4781
"2009-06-14",60.3921
"2009-06-15",60.6663
"2009-06-16",65.9404
"2009-06-17",66.8019
"2009-06-18",72.7741
"2009-06-19",76.1423
"2009-06-20",62.0631
"2009-06-21",59.0418
"2009-06-22",65.0502
"2009-06-23",70.6194
"2009-06-24",70.5211
"2009-06-25",68.3778
"2009-06-26",71.5282
"2009-06-27",82.1147
"2009-06-28",86.2561
"2009-06-29",83.8359
"2009-06-30",72.2185
"2009-07-01",72.0669
"2009-07-02",71.8495
"2009-07-03",71.0728
"2009-07-04",69.8992
"2009-07-05",65.4582
"2009-07-06",64.4398
"2009-07-07",64.8037
"2009-07-08",64.3595
"2009-07-09",64.5429
"2009-07-10",66.7301
"2009-07-11",70.2266
"2009-07-12",69.1929
"2009-07-13",70.8046
"2009-07-14",77.7528
"2009-07-15",77.8545
"2009-07-16",75.9189
"2009-07-17",80.6216
"2009-07-18",82.1138
"2009-07-19",84.1242
"2009-07-20",80.5548
"2009-07-21",76.1193
"2009-07-22",75.0047
"2009-07-23",74.0284
"2009-07-24",71.6886
"2009-07-25",71.8086
"2009-07-26",77.0117
"2009-07-27",79.2356
"2009-07-28",75.2482
"2009-07-29",72.4332
"2009-07-30",72.6732
"2009-07-31",71.2803
"2009-08-01",70.0511
"2009-08-02",65.6596
"2009-08-03",64.9684
"2009-08-04",66.7179
"2009-08-05",65.064
"2009-08-06",59.6043
"2009-08-07",61.7099
"2009-08-08",67.3124
"2009-08-09",74.082
"2009-08-10",78.5466
"2009-08-11",73.585
"2009-08-12",74.5048
"2009-08-13",72.6784
"2009-08-14",67.1374
"2009-08-15",65.7475
"2009-08-16",70.3789
"2009-08-17",73.2794
"2009-08-18",76.0809
"2009-08-19",76.5919
"2009-08-20",70.3362
"2009-08-21",76.8508
"2009-08-22",77.0443
"2009-08-23",70.8561
"2009-08-24",67.3005
"2009-08-25",67.8754
"2009-08-26",72.372
"2009-08-27",72.628
"2009-08-28",80.0877
"2009-08-29",83.5225
"2009-08-30",77.3854
"2009-08-31",72.9559
"2009-09-01",76.3358
"2009-09-02",81.2736
"2009-09-03",76.8607
"2009-09-04",73.6194
"2009-09-05",61.1058
"2009-09-06",60.4258
"2009-09-07",61.5799
"2009-09-08",64.861
"2009-09-09",66.0254
"2009-09-10",76.0384
"2009-09-11",78.6717
"2009-09-12",72.1332
"2009-09-13",59.1804
"2009-09-14",55.1309
"2009-09-15",60.9877
"2009-09-16",65.8488
"2009-09-17",69.2422
"2009-09-18",76.0098
"2009-09-19",70.7335
"2009-09-20",69.7836
"2009-09-21",74.4564
"2009-09-22",78.0829
"2009-09-23",80.4202
"2009-09-24",77.3245
"2009-09-25",76.741
"2009-09-26",80.728
"2009-09-27",83.0592
"2009-09-28",70.5175
"2009-09-29",54.918
"2009-09-30",55.182
"2009-10-01",63.1836
"2009-10-02",67.5779
"2009-10-03",61.0587
"2009-10-04",49.4688
"2009-10-05",49.6792
"2009-10-06",56.6852
"2009-10-07",61.7938
"2009-10-08",61.9869
"2009-10-09",63.7975
"2009-10-10",63.6278
"2009-10-11",60.2695
"2009-10-12",52.6908
"2009-10-13",53.8129
"2009-10-14",60.0337
"2009-10-15",63.3661
"2009-10-16",66.9369
"2009-10-17",71.3732
"2009-10-18",64.7373
"2009-10-19",54.3936
"2009-10-20",54.6991
"2009-10-21",58.766
"2009-10-22",60.8328
"2009-10-23",64.6129
"2009-10-24",66.9265
"2009-10-25",64.593
"2009-10-26",66.164
"2009-10-27",51.7575
"2009-10-28",47.2248
"2009-10-29",49.017
"2009-10-30",55.8667
"2009-10-31",59.216
"2009-11-01",62.9022
"2009-11-02",66.7112
"2009-11-03",69.0915
"2009-11-04",62.371
"2009-11-05",53.4484
"2009-11-06",53.8858
"2009-11-07",51.4902
"2009-11-08",50.9869
"2009-11-09",53.2816
"2009-11-10",56.7651
"2009-11-11",58.5082
"2009-11-12",50.8359
